place_id,name,address,lat,lng,rating,review_count,business_status,types,search_term,city,keep
ChIJG5aJWj7RQIYRuALi_3zK0Cw,Urban Air Trampoline and Adventure Park,"20502 Hempstead Rd Suite 110, Houston, TX 77065, USA",29.9216421,-95.6232569,4.2,1981,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Houston,TRUE
ChIJj6POOwDHQIYRoutVUOsuCQc,Urban Air Trampoline and Adventure Park,"2737 Minimax St #200, Houston, TX 77008, USA",29.7972909,-95.4484715,4.2,210,OPERATIONAL,"amusement_park, point_of_interest, establishment",urban air Texas,Houston,TRUE
ChIJSbEYtNc0R4YRBnWKahghtjU,Urban Air Trampoline and Adventure Park,"20100 Holzwarth Rd, Spring, TX 77388, USA",30.0562178,-95.4373195,4.2,1438,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Spring,TRUE
ChIJ1fJLkDsrTIYRHLbAEGEOAYY,Urban Air Trampoline and Adventure Park,"2350 Airport Fwy, Bedford, TX 76022, USA",32.8358911,-97.1300556,1.6,212,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Bedford,TRUE
ChIJry2goU2Xf4gRjn7-149HuaA,Urban Air Trampoline and Adventure Park,"3777 Childress Ave, Mesquite, TX 75150, USA",32.815810899999995,-96.6274859,4,1393,OPERATIONAL,"amusement_park, adventure_sports_center, playground, bowling_alley, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Mesquite,TRUE
ChIJ6y2FKPNtToYRRS9FMgGiqe4,Urban Air Trampoline and Adventure Park,"5425 Columbus Trail, Fort Worth, TX 76123, USA",32.6286084,-97.4102326,4.5,1364,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Fort Worth,TRUE
ChIJPwFmJFmBRoYRGqkDHxwxBFU,Urban Air Trampoline and Adventure Park,"1758 Briarcrest Dr, Bryan, TX 77802, USA",30.653116200000003,-96.3372192,4.5,796,OPERATIONAL,"amusement_park, adventure_sports_center, playground, video_arcade, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Bryan,TRUE
ChIJfQP1ugAdTIYRSU_1Xy1xQLs,Urban Air Trampoline and Adventure Park,"3046 Lavon Dr, Garland, TX 75040, USA",32.9436143,-96.6201964,4.5,1576,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Garland,TRUE
ChIJa2qGb6k-TIYRF2oHX_IzUcg,Urban Air Trampoline and Adventure Park,"10570 John W. Elliott Dr #900, Frisco, TX 75033, USA",33.1671377,-96.8256751,4.1,1915,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Frisco,TRUE
ChIJ5fsI120XTIYRbtNLhapHyOI,Urban Air Trampoline and Adventure Park,"3150 S Hardin Blvd, McKinney, TX 75070, USA",33.166536199999996,-96.6664791,4.3,2141,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,McKinney,TRUE
ChIJJw692w8hTIYRPrAFn3MzUJw,Urban Air Trampoline and Adventure Park,"14902 Preston Rd, Dallas, TX 75254, USA",32.9520737,-96.8024467,4.4,1183,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Dallas,TRUE
ChIJx_Enz8_uToYR9lXKi9O3VSI,Urban Air Trampoline and Adventure Park,"507 N Hwy 77, Waxahachie, TX 75165, USA",32.4093377,-96.843747,4.1,590,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Waxahachie,TRUE
ChIJjyEc6h0BToYR5lWf4oYxHUw,Urban Air Trampoline and Adventure Park,"2010 Cinema Dr, Hudson Oaks, TX 76087, USA",32.75568,-97.7157821,4.4,543,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Hudson Oaks,TRUE
ChIJqRdGgXy9XIYRGoKbG-AszXo,Urban Air Trampoline and Adventure Park,"604 S Walnut Ave, New Braunfels, TX 78130, USA",29.688295399999998,-98.1288093,3.9,699,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,New Braunfels,TRUE
ChIJT0uxBB7P-4YRtf3GQZboJT0,Urban Air Trampoline and Adventure Park,"4101 E 42nd St, Odessa, TX 79762, USA",31.8949955,-102.338871,3.8,164,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Odessa,TRUE
ChIJ7SezWHFLRYYRWZGLRO1oWi8,Urban Air Trampoline and Adventure Park,"2102 Jennifer Dr, Killeen, TX 76542, USA",31.104381500000002,-97.7462463,4.3,1691,OPERATIONAL,"amusement_park, adventure_sports_center, playground, amusement_center, sports_complex, sports_activity_location, point_of_interest, establishment",urban air Texas,Killeen,TRUE
ChIJTQUd9DKCToYR01A5XKnGnOo,Sky Zone Trampoline Park,"3823 Irving Mall, Irving, TX 75062, USA",32.8383265,-96.9974009,4.1,1117,OPERATIONAL,"amusement_center, playground, sports_complex, sports_activity_location, point_of_interest, establishment",sky zone Texas,Irving,TRUE
ChIJvaf-3eU9TIYRlkrCCLpYCdg,Sky Zone Frisco - Preston Ridge,"3333 Preston Rd Suite 1500, Frisco, TX 75034, USA",33.1067722,-96.8146658,3.7,127,OPERATIONAL,"amusement_center, video_arcade, playground, sports_complex, sports_activity_location, event_venue, point_of_interest, establishment",sky zone Texas,Frisco,TRUE
ChIJKcO1unmFT4YRTJLDT-WkNHs,Sky Zone Trampoline Park,"5050 W Waco Dr, Waco, TX 76710, USA",31.5189521,-97.1790893,5,1,OPERATIONAL,"amusement_park, point_of_interest, establishment",sky zone Texas,Waco,TRUE
ChIJjS0xIX41R4YRrImMxgrlgfw,Sky Zone Trampoline Park,"425 Sawdust Rd, The Woodlands, TX 77380, USA",30.1244697,-95.4484493,,,OPERATIONAL,"amusement_park, point_of_interest, establishment",sky zone Texas,The Woodlands,TRUE
ChIJx0Fp3XZfP4YRkxalqT94r30,Sky Zone Trampoline Park,"3501 Garth Rd, Baytown, TX 77521, USA",29.7600763,-94.9787653,3.9,10,OPERATIONAL,"amusement_park, point_of_interest, establishment",sky zone Texas,Baytown,TRUE
ChIJ-3xVE5NF54YRGkhM_Sw9eAo,Sky Zone Trampoline Park,"1691 N Zaragoza Rd Ste 1, El Paso, TX 79936, USA",31.750449599999996,-106.2819259,4.1,204,OPERATIONAL,"amusement_park, playground, sports_complex, sports_activity_location, point_of_interest, establishment",sky zone Texas,El Paso,TRUE
ChIJy2tq1Dz53YYRKhMYuho3sJk,Sky Zone Trampoline Park,"4585 Ripley Dr Bldg #5, El Paso, TX 79922, USA",31.830235100000003,-106.5707578,4.6,145,OPERATIONAL,"amusement_park, playground, sports_complex, sports_activity_location, point_of_interest, establishment",sky zone Texas,El Paso,TRUE
ChIJr2MjVCHcQIYRjZsdw4v8w0M,Sky Sports Trampoline Park,"14409 Parkhollow Dr, Houston, TX 77082, USA",29.732559199999994,-95.6409072,4.1,1139,OPERATIONAL,"amusement_center, amusement_park, playground, bar, sports_activity_location, event_venue, point_of_interest, establishment",sky zone Texas,Houston,TRUE
ChIJJzjGMevdQIYRTcNvou1nPNs,Funplex,"13700 Beechnut St, Houston, TX 77083, USA",29.689632800000002,-95.6252149,3.7,4880,OPERATIONAL,"amusement_center, tourist_attraction, video_arcade, bowling_alley, banquet_hall, amusement_park, playground, sports_complex, sports_activity_location, event_venue, point_of_interest, establishment",sky zone Texas,Houston,FALSE
ChIJM7gWCJCnZYYRvpYXR1Y3N8I,Sky Park Kids,"4801 Colbath Ave, McAllen, TX 78503, USA",26.193388199999998,-98.2773206,4.2,872,OPERATIONAL,"amusement_center, video_arcade, cafe, playground, bar, food, point_of_interest, establishment",sky zone Texas,McAllen,TRUE
ChIJq5p6RbI3R4YRRfWr7XYlgJs,Urban Air Trampoline and Adventure Park,"17943 North Freeway, Frontage Road, Shenandoah, TX 77385, USA",30.196428599999997,-95.4515198,4.1,902,OPERATIONAL,"amusement_park, adventure_sports_center, amusement_center, playground, sports_complex, sports_activity_location, point_of_interest, establishment",sky zone Texas,Shenandoah,TRUE
ChIJXV_VgYYjNoYRnjt_Ewj5-gM,Skydive East Texas,"1 Airport Rd, Gladewater, TX 75647, USA",32.529013,-94.968266,4.8,102,OPERATIONAL,"sports_activity_location, point_of_interest, establishment",sky zone Texas,Gladewater,FALSE
ChIJd813wk_CQIYR-m0SLaXMHVo,Jumping World,"6904 Southwest Fwy A, Houston, TX 77074, USA",29.7105693,-95.5083389,3.9,1168,OPERATIONAL,"amusement_center, video_arcade, amusement_park, point_of_interest, establishment",sky zone Texas,Houston,TRUE
ChIJgQxNKUmhZYYRNcLoUOWTfis,Helium Trampoline Park,"801 Dove Ave W, McAllen, TX 78504, USA",26.2526861,-98.2192679,3.6,312,OPERATIONAL,"amusement_center, point_of_interest, establishment",sky zone Texas,McAllen,TRUE
ChIJmarW7kwE-hQRRZkUQUbPGB8,Sky Zone,"1691 N Zaragoza Rd Ste 1, El Paso, TX 79936, USA",31.750494999999994,-106.2816789,4.1,1199,OPERATIONAL,"amusement_center, playground, point_of_interest, establishment",sky zone Texas,El Paso,TRUE
ChIJP1LyojofTIYR02a88-g-dK8,Altitude Trampoline Park in Richardson,"110 W Campbell Rd Suite 400, Richardson, TX 75080, USA",32.9769442,-96.7184611,4.1,417,OPERATIONAL,"amusement_center, point_of_interest, establishment",altitude trampoline Texas,Richardson,TRUE
ChIJz0JBiGRLW4YRk1X6r7RGYkg,Altitude Trampoline Park,"6800 West Gate Blvd, Austin, TX 78745, USA",30.2095117,-97.8149139,4.4,1287,OPERATIONAL,"amusement_center, point_of_interest, establishment",altitude trampoline Texas,Austin,TRUE
ChIJh-Va9eFzToYRGYGcdNsIN8Y,Altitude Trampoline Park at Cityview,"4728 Bryant Irvin Rd, Fort Worth, TX 76132, USA",32.6806638,-97.4176341,4.3,705,OPERATIONAL,"amusement_park, playground, sports_complex, sports_activity_location, point_of_interest, establishment",altitude trampoline Texas,Fort Worth,TRUE
ChIJI9sAKCnPRIYRgM3U4uk0XBA,Altitude Trampoline Park,"2800 S I-35 Frontage Rd #200, Round Rock, TX 78681, USA",30.482412,-97.6772962,4,1436,OPERATIONAL,"gym, sports_activity_location, point_of_interest, health, establishment",altitude trampoline Texas,Round Rock,TRUE
ChIJA6DweUjnQIYRgWKUIjw9h_Q,Altitude Trampoline Park Sugar Land,"4550 Hwy 6, Sugar Land, TX 77478, USA",29.580693900000004,-95.5856585,4.1,738,OPERATIONAL,"amusement_park, playground, amusement_center, event_venue, child_care_agency, point_of_interest, establishment",altitude trampoline Texas,Sugar Land,TRUE
ChIJM_3AsC9nXIYRAWRpPct4A_0,Altitude Trampoline Park,"11075 I-10 #126, San Antonio, TX 78230, USA",29.548134800000003,-98.5796571,4.5,1428,OPERATIONAL,"amusement_center, tourist_attraction, point_of_interest, establishment",altitude trampoline Texas,San Antonio,TRUE
ChIJv2iB8pQmQYYR7-6TQdcUBjY,Altitude Trampoline Park,"24952 Katy Ranch Rd, Katy, TX 77494, USA",29.782631799999997,-95.796579,4.3,1797,OPERATIONAL,"amusement_center, sports_activity_location, event_venue, point_of_interest, establishment",altitude trampoline Texas,Katy,TRUE
ChIJI2bTeYDXTYYRR8aLGLjQhdM,Altitude Trampoline Park at KELLER,"5650 Kroger Dr Suite 200, Fort Worth, TX 76244, USA",32.9106276,-97.2647801,4.2,1744,OPERATIONAL,"gym, sports_activity_location, point_of_interest, health, establishment",altitude trampoline Texas,Fort Worth,TRUE
